51	12
27	71
10	92
72	78
4	50
40	60
81	65
63	73
11	93
5	99
73	95
32	8
91	34
85	63
59	72
60	77
97	75
45	80
29	2
22	54
43	66
16	39
56	47
49	91
61	38
88	24
99	98
37	76
18	5
26	46
21	25
1	42
39	1
23	29
74	64
89	28
96	13
28	19
68	89
62	41
54	83
53	35
33	31
7	51
3	53
34	26
83	15
76	55
20	74
67	62
14	18
93	23
44	9
30	68
92	58
82	96
78	69
55	59
41	57
25	16
31	84
71	61
98	43
52	17
24	37
42	90
35	79
17	30
86	27
94	82
79	52
65	40
80	36
69	94
6	81
2	11
38	86
19	21
58	14
75	3
36	56
90	4
9	33
13	7
87	67
57	44
70	10
84	87
64	45
8	48
95	32
46	85
66	70
47	22
12	20
15	88
